stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249262,Etawah,Etawah,800981,5,Municipality,838,Etawah,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249059,Etmadpur,Etmadpur,800801,5,Municipality,765,Etmadpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249156,Faridpur,Faridpur,800873,5,Municipality,789,Faridpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249250,Farrukhabad,Farrukhabad,800968,5,Municipality,832,Farrukhabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249347,Fatehpur(Fatehpur),Fatehpur(Fatehpur),801064,5,Municipality,878,Fatehpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249068,Fatehpur Sikri,Fatehpur Sikri,800808,5,Municipality,767,Kiraoli,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,297027,Gajralua,Gajralua,000000,5,Municipality,154,Amroha,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248878,Gangoh,Gangoh,800635,5,Municipality,703,Nakur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249090,Ganj Dundwara,Ganj Dundwara,801273,5,Municipality,1012,Patiyali,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248993,Garhmukteshwar,Garhmukteshwar,800739,5,Municipality,120074,Bakhtawarpur,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249462,Gaura Barhaj,Gaura Barhaj,801177,5,Municipality,961,Barhaj,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,276425,Gauriganj,Gauriganj,000000,5,Municipality,913,Gauriganj,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249290,Ghatampur,Ghatampur,801007,5,Municipality,850,Ghatampur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249512,Ghazipur,Ghazipur,801222,5,Municipality,989,Ghazipur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249179,Gola Gokarannath,Gola Gokarannath,800897,5,Municipality,799,Gola Gokaran Nath,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249419,Gonda,Gonda,801134,5,Municipality,928,Gonda,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249537,Gopi Ganj,Gopi Ganj,801241,5,Municipality,998,Gyanpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249006,Gulaothi,Gulaothi,800750,5,Municipality,746,Bulandshahr,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249254,Gursahaiganj,Gursahaiganj,800973,5,Municipality,833,Chhibramau,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249305,Gursarai,Gursarai,801022,5,Municipality,857,Garautha,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248914,Haldaur,Haldaur,800667,5,Municipality,713,Bijnor,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249322,Hamirpur,Hamirpur,801039,5,Municipality,149,Hamirpur,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248991,Hapur,Hapur,800737,5,Municipality,740,Hapur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249201,Hardoi,Hardoi,800919,5,Municipality,811,Hardoi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248952,Hasanpur,Hasanpur,800704,5,Municipality,154,Amroha,District,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,297020,Hata,Hata,000000,5,Municipality,189083,Ahirauli,Village,Full,2024-10-14 08:43:46
